"academic use only"

"corpus","preloaded/ententen20_tt31_1"
"subcorpus","-"
"concordance size","1926"
"query","Query:[tag=""N.*""& tag!=""NNSZ"" & tag!=""NNZ""& tag!=""NPZ""& tag!=""NPSZ""][tag=""VVN"" & lemma =""stain""] [tag=""N.*""] within < s/>"
"Reference","Left","KWIC","Right"
"pencilpixels.com","Decore 1 2 M Diffusion Glass 1 2 3 M A Stained Glass v1 1 2 M Stained Glass v2 1 2 M Stained Glass v3 1 2 M Stained Glass v4 1 2","M Stained Glass","v5 1 2 M Stained Glass v6 1 2 3 M A Glass Frames 1 2 3 Sunlight Accents 1 2 3 * Some examples use SG Frames and Sunlight Accents in"
"pencilpixels.com","Glass 1 2 3 M A Stained Glass v1 1 2 M Stained Glass v2 1 2 M Stained Glass v3 1 2 M Stained Glass v4 1 2 M Stained Glass v5 1 2","M Stained Glass","v6 1 2 3 M A Glass Frames 1 2 3 Sunlight Accents 1 2 3 * Some examples use SG Frames and Sunlight Accents in addition to the"
"monarchygame.com","before me To lead my feet Its only through you that I am me </s><s> Rotted against the horizan end Towered a castle tranquiling","trend Stained potrait","does one see Untroubled on it''s rock of gold and glee So becoming to thou eye That the tear drop does not die All about his"
"alythparishchurch.org.uk","the interior around, and allowed much-needed halls to be incorporated beyond the new wall behind the pulpit. </s><s> The","memorial Stained Glass","windows all date from the early 20th century. </s><s> The Funeral escutcheon, on the balcony to the right of the organ pipes"
"stained-glass-windows.net","....... </s><s> Dimensions are 36 X 10 3/4..... </s><s> Zinc Metal BORDER (edging)..... </s><s> Custom orders most welcome...... </s><s> The item ""","Abstract Stained Glass","Transom window hanging 36 X 10 3/4'' with Zinc Edging"" is in sale since Tuesday, November 20, 2018. </s><s> This item is in the"
"wikigta.org","tells Niko he told him to be calm; Niko sarcastically welcoming someone to America, with a gun in his hand and","blood stained clothes","; two police cars and a chopper in China town; the man who was interrogating Niko earlier, now desperately trying to make"
"knight.org","and on mitred abbots at their investiture, and which is used by these prelates in performing certain solemn","functions Stained Glass","- The popular name for the glass used in the making of coloured windows Stalls - Seats in a choir, wholly or partly"
"geekologie.com","$17-$20 depending on the make of your phone. </s><s> Some are just decoratively... </s><s> These are some of the beautifully crafted","Pokemon stained glass","pieces created by artist Arjan Jelle Boeve. </s><s> You can see more of his work on his Facebook... </s><s> These are the giant 3-D"
"trendwest.com","of the door from the outside. </s><s> (Maintenance person was not impressed.) > Dishwasher leaking onto kitchen floor >","Blood stained bed","cover and blanket (immediately replaced) > Hot tub at Front Desk area was out of service for 2 days. </s><s> The alternate hot tub"
"arthurrogergallery.com","in what I now know was bliss and comprehension. </s><s> Lesley Dill, ""Poem Eyes #3,"" photo silkscreen shellac, thread on","tea stained muslin",". </s><s> Courtesy of artist and George Adams Gallery. </s><s> I was late for school, so I just went downstairs and had Cheerios. </s><s> I had"
