"academic use only"

"corpus","preloaded/ententen20_tt31_1"
"subcorpus","-"
"concordance size","16613"
"query","Query:[tag= ""VB.*""] [tag=""RB""]? [tag = ""VVN"" & lemma = ""stain""] [tag=""IN""] within < s/>;Shuffle:"
"Reference","Left","KWIC","Right"
"cshlp.org","POT1-ΔOB. </s><s> (G) Representative images of mitotic UFBs detected by indirect immunofluorescence for PICH (green); DNA","is stained with","DAPI in blue. </s><s> (H) Quantification of PICH UFBs in two independent experiments (total n > 100 mitoses for each condition)"
"microscopyu.com","Red filter set. </s><s> Mouse Kidney Tissue with Alexa Fluor 488 and 568 </s><s> A cryostat section was of mouse kidney tissue","was simultaneously stained with","Alexa Fluor 488 wheat germ agglutinin (glomeruli and convoluted tubules; 519-nanometer emission) and Alexa Fluor"
"snmjournals.org","membrane. </s><s> Similar expression of the anti-DNS reporter on EJ cells was also noted. </s><s> EJ/anti-PEG and EJ/anti-DNS cells","were stained with","a commercial PEG–quantum dot to assess the PEG binding activity of the anti-PEG reporter. </s><s> As shown in Figure 1B, EJ/"
"coffinitup.com","houses the retro versions of Atari and Intellivision. </s><s> Pirates Gold Coffin Game </s><s> The Game Board is made of maple wood. </s><s> It","is stained with","multiple colored stains and is top coated with polyurethane gloss. </s><s> The dice and game markers are hand cut. </s><s> The stones"
"dovepress.com","were acquired from the identified section of ischemic cerebral cortex and paraffin embedded.23 Sections of 5 μm","were stained with","hematoxylin and eosin (HE) and examined by light microscopy (DM2000; Leica Camera, Wetzlar, Germany). </s><s> Electron"
"wikipedia.org","of evolution of MT-CO1 is very slow. </s><s> Colonic crypts (intestinal glands) within four tissue sections. </s><s> The cells have","been stained by","immunohistochemistry to show a brown-orange color if the cells produce the mitochondrial protein cytochrome c"
"role-player.net",". </s><s> Lost to a memory. </s><s> He knew one day that the blade would take his mind. </s><s> He remembered, as he stared at a letter, where ink","was stained with","the tears he must have shed when he first read its contents, he remembered the day he begged. </s><s> Begged for the help of the"
"chooseyourstory.com","An ominous sound echoes through an empty, forgotten dark hallway. </s><s> ... Ok. </s><s> What was it? </s><s> >> The black, shiny marble walls","are stained with","memories of terrible. twisted things. </s><s> If you want my opinion of writing, I''m going to encourage poetic description. </s>"
"dovepress.com","immersed into 2% TTC solution at 37°C for 30 min. </s><s> Brain infarction was stained with pale-colored and the normal tissues","were stained with","red color. </s><s> The ischemic damage area of the brain slice was photographed and analyzed by using Photoshop. </s><s> (A) Control"
"manmin.org","even in Sodom and Gomorrah are committed so easily by people today. </s><s> It''s a world in which even the believers can easily","be stained with","sins. </s><s> God has revealed the origin of sins in the heart of our church members this year. </s><s> With the mirror of the holiness"
"planetsuzy.org","I am just used to it but what can you do about it. </s><s> Human resources???? </s><s> LAUGH Hollywood was built on this stuff. </s><s> Politics","is stained with","allegations of their own. </s><s> Maybe "" what no one knows......."" </s><s> Georgina Chapman, Harvey''s wife, says she is standing by"
"uspto.gov","soluble recombinant rat SF at 60 ng/ml, bFGF at 20 ng/ml (GIBCO), and LIF at 20 ng/ml. </s><s> After 6 days some of the cultures","are stained for","alkaline phosphatase (AP) as described above in order to assess the survival and proliferation of PGCs. </s><s> After 10 days,"
"sdbonline.org","partner bHLH-PAS protein, if Dys and Tgo dimerize in vivo, Tgo should be found in nuclei of Dys-positive cells. </s><s> Embryos","were double stained for","Dys and Tgo. </s><s> Most relevant are the leading-edge cells, since no other bHLH-PAS proteins are known to be expressed in"
"europepmc.org","the clone. </s><s> Antibody staining outside the clone serves as control. </s><s> (C) A wing disc expressing HrsRNAi by act>CD2>Gal4","was stained with","anti-Smo and anti-Hrs antibodies. </s><s> The marked low levels of Hrs label the HrsRNAi expressing clone (arrow in green"
"southernwindsweyr.net","so be it. </s><s> Presently, Meyelthra had decided to dress down in one of his shirts. </s><s> Her favorite. </s><s> The one they''d fought in that","was stained with","his blood from where she''d stabbed him. </s><s> X''hos had wanted to take it to the weavers to get it fixed – to stitch up the hole in"
"centerplace.org","prisoner and confiscated his goods. </s><s> And on his return from the bloody contest, and for aught we know, while his garments","were yet stained with","gore. </s><s> Melchisedec the priest of the most high God, met him and blessed him in the name of the Lord. </s><s> Let not your feelings"
"wikipedia.org","architecture in the county. </s><s> William''s younger brother Hugh succeeded to the Earldom. </s><s> Arthur Mee states that Earl Hugh","is stained with","blood of the subsequent civil war which occurred between King Stephen and the Empress Maude (or rather The Countess of"
"nepjol.info","as per the Ridley-Jopling classification. </s><s> Skin biopsies were taken from active lesions in all patients and","were stained with","Hematoxylin & Eosin stain and modified Fite-Ferraco stain for identification of Mycobacterium leprae. </s><s> The"
"raisethehammer.org","the small patch of rocky gravel situated in the center of the ward. </s><s> Wearing a crisply pressed brown suit that appeared to","be stained in","places by bird feces, he outlined his vision for Hamilton, which he called ""inclusive"". </s><s> ""I believe in an inclusive City"
"ldynwaitin.com","her. </s><s> Marion reached out to Robin and her hands were covered in blood. </s><s> Looking down at his own hands, Robin saw that they","were stained with","blood as well and a scream erupted from his throat. </s><s> ""Robin! </s><s> Wake up!"" </s><s> Little John grasped his friend''s shoulders and"
"fijibure.com","scraped clean, sanded with coral sand, oiled then polished with the leaves of the masi ni tabua tree. </s><s> The polished tabua","was often stained with","cargo or tumeric to give it a deep orange colour. </s><s> Alternatively this end result was obtained by smoking the tooth over a"
"reelreports.com","have fallen back from mid 60s into upper 50s due to cold front but will recover somewhat by weekend. </s><s> North part of the lake","is stained while","mid lake and south Rayburn is slightly stained to clear. </s><s> Over the weekend Bass n Bucks had their 4th event of the season"
"dailytarheel.com","the investigators? </s><s> This affinity for corruption isn''t a partisan issue: both the Democrats'' and Republicans'' hands","are stained with","the remnants of injustice, corruption and elitism that dominate North Carolina''s government. </s><s> Response Accounting"
"bio-protocol.org","area) of all events on linear scales. </s><s> D. Auxiliary graph for graph (C). </s><s> After sorting, a 10 μl aliquot of each population","was stained with","DAPI and inspected under a fluorescence microscope (as in step B7). </s><s> Using 100x magnification, sperm and vegetative"
"abc.net.au",", Lima, as Peruvians awaited a decision on who would be the next president. </s><s> ""Merino has resigned because his hands","are stained with","blood, with the blood of our children,"" said Clarisa Gomez, who turned out to celebrate Mr Merino''s departure, while"
"tripod.com","for beer and wine, as you can see in the above photo the plastic tubing and paddle on the left are a green colour, they have","been stained from","the hops. </s><s> The plastic tubing and paddle on the right hand side are only used in winemaking. </s><s> I have checked my hydrometer"
"tracyislandchronicles.com","hell he was seeing. </s><s> It was a large, tall man wearing dirty, dark blue coveralls like an auto mechanic wore. </s><s> The coveralls","were stained with","something Scott couldn''t identify, and when he looked up at the face he realized it wasn''t a face at all, but a mask. </s><s> Every"
"thoracicmedicine.org","be investigated. </s><s> Methods and Results: Lung tissues from severe and mild asthmatic patients, as well as COPD patients,","were stained for","B-cells using immunohistochemistry. </s><s> Interestingly, B-cell germinal centers were observed in lung tissue from"
"ebi.ac.uk","(50 M) were loaded onto the size-exclusion column and the eluted fractions were analyzed by SDS-PAGE and the gels","were stained by","Coomassie-Blue. </s><s> Figure 4. </s><s> Figure 4. </s><s> Proposed model of phosphorylation induced Smad protein activation. </s><s> Left,"
"archmil.org",", their shape, size, and decoration should be in keeping with the design of the altar. </s><s> Unless the altar cloths have","been stained with","the Precious Blood, it is not necessary that they be cleaned in the sacrarium. </s><s> Care should be taken, however, that"
"wikidot.com","face with hands for a few minutes. </s><s> It''s part nearly tears, part Picard. </s><s> The assumption, of course, is that her cheeks","were stained with","tears because Pelor''s Compass had just given her a dream in which the nonsense-speaking idiots on the other side of the"
"sapub.org",". </s><s> Smears were stained in orange G6 for 1 minute and treated with two changes of 95% alcohol for 1 minute each. </s><s> They","were stained in","eosin azure 50 solutions for 2 minutes and treated in 3 changes of absolute alcohol for 1 minute each. </s><s> They were treated"
"europepmc.org","hair in the strong phenotype wing. </s><s> (H) An HR-46 loss-of-function clone in a pupal wing marked by the loss of GFP. </s><s> The wing","was stained with","a fluorescent phalloidin to show the actin cytoskeleton. </s><s> Note that hairs inside the clone are slightly stouter than"
"freerepublic.com","and Israeli intransigence. </s><s> The summits were held amid greetings and smiles between the US President, whose hands","are still stained with","the blood of Muslims in Afghanistan and Iraq. </s><s> Nevertheless, the Arab leaders are still wagering on false US promises. </s>"
"alukah.net","of paying more attention to their duties. </s><s> When characters are infected by vice or weakness, their entire actions","are stained with","these sinful actions or with weakness that lies deep in their selves. </s><s> Courage and the honesty: As we have referred to"
"vancourier.com",", a rickety desk (which is too small for him), a shelf and an old chair. </s><s> Only one burner on his hotplate works, his bed cover","is stained with","blood spots (which he covered in tape) and he shares a bathroom-filthy with mold, peeling paint and brown drip stains on"
"rexresearch.com","mouse IgG by immunofluorescence on sections (data not shown). </s><s> To determine damage, sections from SUS-treated mice","were stained with","hematoxylin and eosin to assess erythrocyte extravasation and tissue damage, as well as with cresyl violet (Nissl"
"nobleresearch.org","6-well plates containing a solidified bottom layer (1% Noble agar in the same growth medium). </s><s> After 20 days, colonies","were stained with","250 μL of 2.5% Crystal Violet (Sigma Aldrich, UK) for 5 min, washed 4-5 times with PBS to remove excess of dye and finally"
"biotechterms.org",", washes out the blue dye (known as crystal violet). </s><s> This leaves the gram-negative bacteria colorless. </s><s> The cells","are then stained with","a red acidic counterstain (dye) such as acid fuchsin or safranine. </s><s> After treatment with counterstain the"
"rawa.org","huge to be a suicide bomber on foot. </s><s> It must be a truck bomb attack,"" eye witness Abdullah Zazai told by phone. </s><s> ""The people","were stained with","blood. </s><s> I could see parts of body scattered on the scene. </s><s> We were not doing anything wrong."" </s><s> ""We don''t make explosions"
"bio-protocol.org","muscle showing a CD206+ muscle macrophage (red) in close proximity to a Pax7+ satellite cell (green). </s><s> Cell nuclei","are stained with","DAPI and skeletal muscle fiber borders are stained with Laminin (both in blue). </s><s> Images were acquired as Z stacks with a"
"kitka.ca","we hosted earlier in the year. </s><s> What makes the colour so incredibly rich and vibrant is a result of the raw porcelain","being stained by","colour pigments. </s><s> Each colour has to be mixed by hand in separate vats which is very labourous and time consuming so as a"
"parislanding.com","in the week but experienced a slight surge at midweek only to return to a gradual drop forecast by TVA. </s><s> Water color has","been stained in","the main Tennessee River but most of Big Sandy and West Sandy is in good shape with some dingy water still hanging around. </s>"
"mediageek.ca","anyway."" </s><s> Slowly, Wesley shifted, reaching down with shaking hands to reposition his pants back up over his waist. </s><s> They","were quickly stained by","Wesley''s blood and Blaise''s semen. </s><s> ""What, exactly, is okay then?"" </s><s> ""There''s one type of magic that is stronger than sex"
"clltopics.org",". </s><s> Ninety-two cases of T-cell non-Hodgkin lymphoma (NHL), 75 cases of B-cell NHL, and 57 cases of Hodgkin lymphomas","were stained with","a PI9-specific monoclonal antibody. </s><s> In T-cell NHL, highest PI9 expression was found in the extranodal T-cell NHL. </s><s> In"
"wikipedia.org","the ""DK"", which stood for Dead Kennedys and resembles the international auto ID badge for Denmark, and the pickguard","is stained with","blood. </s><s> Luthier Tony Schroom, built Flouride a new instrument with the same stickers and scratches. </s><s> Other basses such"
"knight.org",", O my love, and there is not a spot in thee."" </s><s> But the purity of the Blessed Virgin would have been greater, if she had never","been stained by","the contagion of original sin. </s><s> Therefore it was granted to her to be sanctified before her flesh was animated. </s>"
"latimes.com","has taken a huge toll in Peruvians'' confidence in public officials. </s><s> Not only have Kuczynski, Toledo and Humalla all","been stained by","the scandal, but another former president Alan Garcia also has been mentioned by Brazilian prosecutors as having"
"freeindex.co.uk",". </s><s> Thank you Artur will definately be using you again. </s><s> Moreexpand_more </s><s> We were panicking after finding our cream carpet","was badly stained after","a leaky pipe had soaked it. </s><s> Our apartment had recently been sold and we didn''t want to pass on this problem to the new"
"appliedbuddhism.org","his right hand he takes the other end and stretches it out. </s><s> He observes that this piece of cloth is not torn, and has not","been stained by","excrement, urine, sputum, or other kinds of filth. </s><s> So he folds it up and puts it away to take home, to wash, and sew it into"
"patentsencyclopedia.com",") (Sigma-Aldrich Corp.) was added at 5 ng/mL and then 24 hours later the cells were recovered. </s><s> Subsequently, the cells","were stained for","the following cell markers and then subjected to flow cytometry analysis. </s><s> All antibodies used were produced by Becton"
"archiveofourown.org","animalistic. </s><s> Black hair was in a disarray half falling out from the loose tie, the dark brocade fabric of his waistcoat","was stained with","a dull crimson color. </s><s> She wanted badly to scream but some hidden part said not to turn, to give into this dark and"
"wrecked.org","of a church, pray to God to reveal his word to you and you are Guaranteed results. </s><s> Every labeled denomination in the world","is stained with","traces of the Apostasy (The Great Falling Away) Even Apostolics that have the correct mode for salvation are in"
"roswellfanatics.net","on her long dress again and again, forcing herself to get back up, to ignore the ache in her hands and legs. </s><s> Her black dress","was stained with","her silvery blood, and her hands were coated with it, but that did not matter to her. </s><s> She had a goal. </s><s> Save him.. </s><s> I''ve got to"
"huggies.com.au","it would make labour more regular, or else we then had to look at other delivery options (possible c-sec etc). </s><s> Waters","were stained with","meconium a little when he broke them. </s><s> Well his theory worked, better than he had hoped for too. </s><s> DD arrived 45 mins later,"
"pathopedia-india.com",". </s><s> They form encrustations on such structures as elastic fibres in the lung or in arteries. </s><s> Calcium salts can","be stained with","alizarin red S which stains them a magenta colour. </s><s> More commonly the von Kossa method is used, in which silver"
"everything2.com","every chunk of time we give away."" </s><s> Gary ran his hands through his hair and began to pry the lid off of the bottle. </s><s> His shirt","was stained with","sweat as though he had been running a marathon. </s><s> I knew this was just a sign of his heightened state- Gary never walked more"
"ghostsofamerica.com","<s> As a little boy I lived near the Venus Maypearl Border. </s><s> I was 6 and saw a witch or demon girl who was short with a dress that","was stained with","black. </s><s> She had long black hair walking across the room while the door was open. </s><s> I was by myself in the living room watching"
"archiveofourown.org","it in such a long time. </s><s> (Tobirama had yelled it, in one of the last bloody battles. </s><s> ""Are you happy now, Uchiha?"" </s><s> His face","was stained with","blood and he was dragging someone''s body off the field.) It... took him a minute to actually consider the question. </s><s> Was"
"gutenberg.net.au","the great and rich district which was for so long a period haunted by their terrible presence. </s><s> Why should these pages","be stained by","further crimes? </s><s> Have I not said enough to show the men and their methods? </s><s> These deeds are written in history, and there"
"schoollibrary.org","horrid sight of armed men fighting; often the combatants fell dead above the very cups of the revelers, and the tables","were stained with","streams of blood. </s><s> Thus demoralised was Capua."" </s><s> [206] Death might be rightly meted out as punishment, or met with"
"openscrolls.net","healer as beautiful, for every elf woman was beautiful. </s><s> She was tall, dark haired, dressed in simple men''s attire that","was stained with","blood despite her fastidious care, and her eyes were weary with millennia of sorrow. </s><s> ""Wounded by my own bow, my Lady"
"seafriends.co.nz","of its intensity through 1km of glass fibre! </s><s> Over 1000 specialty glasses exist, a nightmare for recycling it. </s><s> Glass can","be stained with","various oxides to produce vivid colours. </s><s> All glasses are excellent insulators of electricity and heat. </s><s> Glass can be"
"otago.ac.nz","with an empty vehicle, VLP alone, or VLP + anti-PD-L1. </s><s> Tumours were either immunohistochemically stained or T-cells","were stained for","markers of exhaustion. </s><s> Populations of immune cells were also determined in the blood. </s><s> Slight increases in survival"
"smartpakequine.com","brass trimmed trunks, finished birch interior with a sliding tray and tote box. </s><s> ""Bumper"" is made of Alderon wood and can","be stained for","a more natural wood look or painted to match the vinyl colors. </s><s> Tote only included in size Medium and Large. </s><s> Please allow 8"
"bio-protocol.org","visualized by separating protein samples on SDS-PAGE (denaturing gel) or Native-PAGE (non-denaturing gel), which","are then stained with","the chromogenic substrates β-NAP and fast black K. For Native-PAGE analysis, omit SDS from the gel and running buffer. </s>"
"candidagenome.org","gel electrophoresis and western blotted (immunoblotted) to nitrocellulose paper. </s><s> Polyacrylamide gels","were stained with","Coomassie blue and processed for fluorography. </s><s> Western blot analysis was performed either with peroxidase"
"phcog.com","and washed with ice-cool saline. </s><s> The pancreas was fixed in 10 % of neutral formalin. </s><s> The sections of 3-5 mm thickness","were stained with","hematoxylin and eosin for histopathological studies [16] . </s><s> Statistical Analysis </s><s> One way analysis of variance (ANOVA"
"priory.com","process for histological examination. </s><s> The tissues were sectioned at 0.4μ using Microtome (Leica 2045). </s><s> The sections","were then stained with","Harris Hematoxylin & Eosin (H&E) and Methyl green pyronin. </s><s> The number and size of follicle, intraepithelial"
"casebook.org","your success in tracing the murderer with bloodhounds. </s><s> The pavements of our own city, for instance, may possibly","be stained with","the blood of carcasses such as sheep in transit, as well, indeed, as with human blood, the result of natural deposit. </s>"
"kjim.org","and/or malignancy. </s><s> A small piece of tissue from the antrum, which was obtained by gastroduodenoscopic biopsy,","was stained by","Warthin-starry silver stain. </s><s> We defined a negative staining result that there was no stained tissue in the sample and"
"sapub.org","is currently in use for sputum microscopy. </s><s> However, extrapulmonary samples and non-sputum samples like BAL are still","being stained by","the conventional ZN stain and viewed by the bright field microscopy which has a very low sensitivity. </s><s> The present study"
"eg.net","lamina propria [17]. </s><s> P53 protein expression was determined in biopsies by immunohistochemical studies </s><s> All sections","were stained with","hematoxylin and eosin stain. </s><s> Immunostaining for p53 was performed on formalin-fixed, paraffin-embedded tissues"
"furnitureclinic.co.uk","shows the table with only half stained using our Dark Oak Wood Stain. </s><s> Staining wood to look like Pine </s><s> Any type of wood can","be stained so","it has a pine colour. </s><s> The only condition is that the wood must be a lighter colour than the stain, this is because Wood"
"rapidmicromethods.com","filtered and the membrane is placed onto an agar cassette. </s><s> Following an appropriate incubation period, the membrane","is stained with","a non-fluorescent substrate. </s><s> Microorganisms on the filter will take up the substrate, which is then enzymatically"
"arizona.edu","; cut out the band, put it in an eppi tube, and keep in the freezer until you are ready to submit it for analysis. </s><s> If the gel","was stained with","silver, the band should be destained the same day the gel was stained. </s><s> A protocol for destaining silver bands is in our"
"europepmc.org","removed by centrifugation over a Ficoll gradient (GE Healthcare, Piscataway, NJ). </s><s> ROS measurement </s><s> Apoptotic cells","were stained with","10μM dihydroethidium (DHE; Invitrogen, Carlsbad, CA) for 30 min at 37oC. </s><s> Fluorescence intensity was measured by flow"
"adalah.org","Zoabi''s speech in her defense against the motions. </s><s> The politicians called MK Zoabi a terrorist and said that ""her hands","are stained with","blood"", and made chauvinistic insults against her including remarks about her clothing. </s><s> The peak of these racist"
"ashpublications.org","mAb (S-44) or control IgG, followed by secondary AF 599–conjugated goat anti–mouse IgG (Invitrogen). </s><s> Cells","were then stained with","anti-cleaved (activated) caspase-3 Ab and analyzed by flow cytometry. </s><s> Immunofluorescent staining </s><s> In situ"
"sherwoodoregon.gov","during a water main leak. </s><s> When the leak is fixed, the next load of laundry should be dark colors. </s><s> Light laundry might","be stained by","discolored water that may still be in the pipes. </s><s> Emergency Water Sources both in the home and out can be found when water"
"absoluteastronomy.com","hot spring or fumarole consisting of a pool of usually bubbling mud. </s><s> The mud is generally of white to greyish color, but","is sometimes stained with","reddish or pink spots from iron compounds... </s><s> Existing rocks that come into contact with Magma are often melted by the"
"fluoridealert.org","of hereditary haemolytic anaemia, especially in patients with thalassaemia. </s><s> The bodies are best seen when the blood","is stained with","crystal violet. </s><s> Heinz reported these bodies in the blood of guinea pigs treated with acetylphenylhydrazine. </s><s> Also"
"game-reserve.com","rising out of the far wall of the canyon like rockets about to take off. </s><s> Their domed heads are iced in green and their sides","are stained with","fiery orange lichen. </s><s> From the ''Three Rondavels'' you can see the extensive Swadini Dam in the far distance, which marks"
"ancientcauldron.com",") on your brow, adoring celebrants hanging on every word which drops from your lips... </s><s> Reality check. </s><s> The robes will","be stained with","wine and candle wax soon enough, and not every word you speak is worth remembering. </s><s> A coven leader''s job is mostly hard"
"rcpbml.org.uk","of the revolutionary assailants. </s><s> In some of them, the doctors noted as evidence of crime, that the fingers of the dead","were stained with","the ink used for taking their fingerprints before they were killed, plus many other details. </s><s> It was from their notes"
"adult-fanfiction.org","ass, kid."" </s><s> He muttered to himself where no one could hear him as he grinned. </s><s> Her toned stomach sank in and her pubic mound","was still stained with","the evidence of her rape. </s><s> But, with her legs bound behind the cross, Casey''s freshly raped pussy stood out even more,"
"rpgdragons.org","and arms quaked to the point of immobility, Atarijor pressed on. </s><s> He knew by the time he reached its summit, the ramp would","be stained with","his blood--so frequently was he whipped. </s><s> He only hoped Rhune and Maxeylius were faring better than him today. </s><s> Baldirak"
"snmjournals.org","previously (25). </s><s> Staining was performed at room temperature unless stated otherwise. </s><s> Contiguous adjacent sections","were then stained for","the vascular markers CD31 and α-smooth muscle actin (α-SMA) as follows. </s><s> After sections were fixed in 4%"
"wormbook.org","(mu218) mutation prevents LIN-39 and MAB-5 from canceling each other''s activities in males. </s><s> The indicated mutants","were stained with","MH27 in early L2 to score Pn.p cell fusion in males. </s><s> White circles indicate unfused Pn.p cells, short horizontal lines"
"indiebound.org","his book, ''An American Memoir,'' and that''s more than a grandiose proclamation. </s><s> He is a son of this nation whose soil","is stained with","the blood and sweat of his ancestors. </s><s> In a country both deserving of his love and hate, Laymon is distinctly American. </s>"
"snmjournals.org",", followed by alignment using MicroSuite Biological Suite (version 2.7; Olympus). </s><s> Sequential tumor sections","were stained with","hematoxylin and eosin, and bright-field images were acquired in the same manner as above. </s><s> Kinetic Modeling </s><s> Voxelwise"
"leeds.ac.uk","pattern produced by the emitted fluorescent light can be observed. </s><s> For example, this photo shows some cells that have","been immunofluorescently stained for","the protein actin. </s><s> Works description: 27/101 tel0208032 - slot cut c/w sensor loops to repair traffic signals SD7 plus"
"patterico.com","be untouched by events! </s><s> That they able to attend the usual parties, not be chased from restaurants, and the GOP not","be stained by","any hint of practicality. </s><s> And just think! </s><s> We can sign the Paris Agreement, the TPP, and up our dues to the UN! </s><s> We want to be"
"newsexpressngr.com","follow Satan home, that is if they reject the grace of God available to them now. </s><s> Isaiah 59:1-7 says: ""... </s><s> For your hands","are stained with","blood and your fingers with guilt..."" </s><s> . </s><s> Isaiah 30:1says: ""Woe to the obstinate children declares the Lord, who carry"
"gutenberg.org","do not apply yourself to trifles and secular literature, we shall give thanks to God, who has not permitted your heart to","be stained with","the blasphemous phrases of what is abominable; and we will treat without misgiving or hesitation concerning granting"
"proboards.com","through the books and write some stuff you want to do down."" </s><s> Only a few of the girls had pens, so they shared. </s><s> Several hands","were stained with","black ink in their eagerness, but before long, they had composed a list of some spells they wanted to perform and potions"
"asknoah.org","could see from afar that it was an old handwritten letter. </s><s> Could it be from his mother? </s><s> The Rebbe turned the letter [that","was stained with","his mother''s tears] to Joe but kept his hand on it so Joe could not pick it up. </s><s> Joe read the letter. </s><s> It was as the Rebbe said! </s>"
"invitroscreeningblog.com","as directed by the manufacturer in a Tecan GENios microplate fluorescence spectrophotometer. </s><s> Cells had","been also stained with","0.2 trypan blue and counted that has a hemocytometer to evaluate cytotoxicity. </s><s> For Transwell migration assays,"
"adult-fanfiction.org","youko had been thrown in. </s><s> With his heart in his throat, Yusuke knelt next to his friend; he didn''t even care that his jeans","were now stained with","blood; all he cared about now was if his friend was going to survive. </s><s> ""Kurama. . ."" he called tentatively. </s><s> No reply. </s>"
"mountainman.com.au","used to store many things, and I''m not sure I want to put my hand in it for fear of what I''ll find. </s><s> The coat has absorbed and","been stained with","all kinds of fluids; saltwater, rainwater, resin, coffee, ink, wax, beer, acetone, gasoline, blood (don''t ask),"
"jhu.edu",", that act as flypaper: ""They attach to the white blood cells and remove them,"" says Partin. </s><s> ""Whatever''s left","is stained for","PSA, which lights up in a fluorescent field. </s><s> Everything else is black, and there''s that big prostate cell beacon"
"gutenberg.net.au",", look ye neither to the right nor left. </s><s> The path leads upward! </s><s> Elsa lay curled on a Scots plaid steamer rug that had","been stained by","travel. </s><s> It was spread over big flat cushions stuffed with the swans-down that lies like wind-blown blossom on the shore"
"babelserver.org","fire, killing four state police officers and 16 Nazis.[ </s><s> 25] </s><s> This was the origin of the Blutfahne (''blood flag''), which","was stained with","the blood of two SA members who were shot: the flag emaculation Heinrich Trambauer, who was badly wounded, and Andreas"
"bariatricnews.net","cells show a light blue co-staining for the leptin receptor and a marker of epithelial-mesenchymal. </s><s> Cell nuclei","are stained in","red. </s><s> (Credit: Helmholtz Zentrum München) </s><s> When the scientists blocked the as yet unknown signalling pathway with an"
"reelreports.com","is 172 ft msl. </s><s> The water temperature has been gradually falling and is running in the 60s. </s><s> The north end of the main lake","is stained with","the feeder creeks muddy. </s><s> The fishing has really picked up with the cooling water temperature. </s><s> The Crappie fishing has"
"artgraphica.net","on 2"" Deep Wood Panel 12 × 12 inches </s><s> Step 1: Creating the totem image. </s><s> Ink on 140 lb. cold press watercolor paper which has","been stained with","coffee and red wine. </s><s> Step 2: Preparing the wood panel painting: I made an underpainting of deep violets / purples and"
"helovia.net","to the gathered group, paddling in an overwhelmed frenzy to reach the source of attention, while her golden legs","are barely stained by","the fetlock-deep sea. </s><s> She gasps, and leaps, surging through the grasping sea with vibrant ferocity, the roll of her"
"spraytanbooth.net","drying during the application process. </s><s> The number one customer complaint of the past was their clothes and bed sheets","were stained from","the application process. </s><s> Blow drying the customer when they are done has solved this issue. </s><s> Additional features"
"sos-arsenic.net","! </s><s> An Englishman in the Bengal Civil Service is said to have commented, ""Not a chest of indigo reached England without","being stained with","human blood"". </s><s> Indigo was part of the national movement. </s><s> Champaran in Bihar witnessed indigo riots in 1868. </s><s> In 1917"
"purifymind.com","right conditions, every sentient being has the potential to become a fully enlightened Buddha. </s><s> The true nature of mind","is never stained with","the defilements. </s><s> The defilements are not the nature of mind, they are outside the the true nature of the mind. </s><s> Therefore"
"amegroups.com","to a monoclonal antibody against the epithelial cell adhesion molecule (EpCAM), and the CTCs-enriched samples","were then stained with","4'',6-diamidino-2-phenylindole (DAPI) and an anti-cytokeratin antibody conjugated with phycoerythrin (CK-PE). </s>"
"asiaandro.com",", dehydrated in acetone, embedded in low viscosity spur medium and polymerized at 60 for 48 h. </s><s> The ultrathin sections","were stained with","uranyl acetate and lead citrate and observed under the transmission electron microscope (Philips model CM-10). </s><s> 2.5"
"sinobiological.com","antibody) Images </s><s> Flow cytometric analysis of Human CD19 expression on human whole blood lymphocytes. </s><s> Cells","were stained with","FITC-conjugated anti-Human CD19 and PE-conjugated anti-Human CD3. </s><s> The fluorescence histograms were derived from"
"va.gov","tissue slab was embedded in paraffin and six serial tissue sections were taken from each block. </s><s> Alternate sections","were stained with","hematoxylin and eosin (H & E), picrosirius red for collagen, and modified Hart''s for elastin, according to standard"
"doomsteaddiner.net","planet. </s><s> We never achieved our higher order consciousness when it came to conflict resolution. </s><s> So every century has","been stained with","needless blood and mutilation. </s><s> We chose competition over co-operation, excess over moderation, and mindless"
"ethnoleaflets.com","microtome sections were cut at 10-15 mm thickness. </s><s> Wherever necessary hand sections were also cut. </s><s> These sections","were stained in","the usual safranin fast green combination and mounted in D.P.X. Nature of various depositions and cell contents was"
"thebrandon.org","your home is responsible to cover the furniture you have in your house with plastic sheets in order for them not to","be stained in","any way, it is your responsibility as a homeowner to move them in places where they could not affect the movement of the"
"ejgo.org","with fluorescein isothiocyanate (FITC)-Annexin V and propidium iodide (PI). </s><s> For cell cycle analysis, samples","were stained by","PI alone using a cell cycle detection kit (BD Biosciences). </s><s> Apoptosis and cell population rates at G0±G1, S, and G2±M"
"explorion.net","our mules plodded slowly by through the sand. </s><s> On each grave was a frail wooden cross, and this and the paling round about","were already stained by","the weather as gray as the tree trunks of the stunted forest that stretched endlessly on every side. </s><s> The skeletons of"
"faramirfiction.com","the cooler airs from the mountains to make mist-shrouded mornings clearing to glorious afternoons. </s><s> This white bloom","was stained with","red. </s><s> Faramir gasped then clenched his teeth as Rhisiart pulled him to his feet, the pain of the movement cutting through"
"waisworld.org","after an attempt on the life of the governor, Rodolfo Graziani. </s><s> Like those of all other colonial powers, Italy''s hands","are stained with","blood. </s><s> JE comments: How widespread, in Roy Domenico''s view, is this re-appraisal of the Mussolini legacy? </s><s> Is there a"
